INSERT INTO `genshin_farming_002`.`personnages` 
(`id_personnage`, `nom_personnage`, `rarete_personnage`, `type_arme_personnage`, `type_personnage`, `image_personnage`, `image_rarete`,`image_type_arme`,`image_type`)
28,Xiao,5,polearm,anemo,xiao.webp,NULL,polearm.webp,anemo.webp
29,Hu Tao,5,polearm,pyro,hu_tao.webp,NULL,polearm.webp,pyro.webp
30,Rosalia,4,polearm,cryo,rosalia.webp,NULL,polearm.webp,cryo.webp
31,Yanfei,4,catalyst,pyro,yanfei.webp,NULL,catalyst.webp,pyro.webp
32,Eula,5,claymore,cryo,eula.webp,NULL,claymore.webp,cryo.webp
33,"Kaedehara Kazuha",5,sword,anemo,kaedehara_kazuha.webp,NULL,sword.webp,anemo.webp
34,"Kamisato Ayaka",5,sword,cryo,kamisato_ayaka.webp,NULL,sword.webp,cryo.webp
35,Sayu,4,claymore,anemo,sayu.webp,NULL,claymore.webp,anemo.webp
36,Yoimiya,5,bow,pyro,yoimiya.webp,NULL,bow.webp,pyro.webp
37,Aloy,5,bow,cryo,aloy.webp,NULL,bow.webp,cryo.webp
38,"Kujou Sara",4,bow,electro,kujou_sara.webp,NULL,bow.webp,electro.webp
39,"Shogun Raiden",5,polearm,electro,shogun_raiden.webp,NULL,polearm.webp,electro.webp
40,"Sangonomiya Kokomi",5,catalyst,hydro,sangonomiya_kokomi.webp,NULL,catalyst.webp,hydro.webp
41,Thoma,4,polearm,pyro,thoma.webp,NULL,polearm.webp,pyro.webp
42,Gorou,4,bow,geo,gorou.webp,NULL,bow.webp,geo.webp
43,"Arataki Itto",5,claymore,geo,arataki_itto.webp,NULL,claymore.webp,geo.webp
44,"Yun Jin",4,polearm,geo,yun_jin.webp,NULL,polearm.webp,geo.webp
45,Shenhe,5,polearm,cryo,shenhe.webp,NULL,polearm.webp,cryo.webp
46,"Yae Miko",5,catalyst,electro,yae_miko.webp,NULL,catalyst.webp,electro.webp
47,"Kamisato Ayato",5,sword,hydro,kamisato_ayato.webp,NULL,sword.webp,hydro.webp
48,Yelan,5,bow,hydro,yelan.webp,NULL,bow.webp,hydro.webp
49,Kuki Shinobu,4,sword,electro,kuki_shinobu.webp,NULL,sword.webp,electro.webp
50,Shikanoin Heizou,4,catalyst,anemo,shikanoin_heizou.webp,NULL,catalyst.webp,anemo.webp
51,Collei,4,bow,dendro,collei.webp,NULL,bow.webp,dendro.webp
52,Tighnari,5,bow,dendro,tighnari.webp,NULL,bow.webp,dendro.webp
53,Dori,4,claymore,electro,dori.webp,NULL,claymore.webp,electro.webp
54,Candace,4,polearm,hydro,candace.webp,NULL,polearm.webp,hydro.webp
55,Cyno,5,polearm,electro,cyno.webp,NULL,polearm.webp,electro.webp
56,Nilou,5,sword,hydro,nilou.webp,NULL,sword.webp,hydro.webp
57,Nahida,5,catalyst,dendro,nahida.webp,NULL,catalyst.webp,dendro.webp
58,Layla,4,sword,cryo,layla.webp,NULL,sword.webp,cryo.webp
59,Faruzan,4,bow,anemo,faruzan.webp,NULL,bow.webp,anemo.webp
60,Nomade,5,catalyst,anemo,nomade.webp,NULL,catalyst.webp,anemo.webp
61,Yaoyao,4,polearm,dendro,yaoyao.webp,NULL,polearm.webp,dendro.webp
62,Alhaitham,5,sword,dendro,alhaitham.webp,NULL,sword.webp,dendro.webp
63,Dehya,5,claymore,pyro,dehya.webp,NULL,claymore.webp,pyro.webp
64,Mika,4,polearm,cryo,mika.webp,NULL,polearm.webp,cryo.webp
65,Kaveh,4,claymore,dendro,kaveh.webp,NULL,claymore.webp,dendro.webp
66,Baizhu,5,catalyst,dendro,baizhu.webp,NULL,catalyst.webp,dendro.webp
67,Kirara,4,sword,dendro,kirara.webp,NULL,sword.webp,dendro.webp
68,Lynette,4,sword,anemo,lynette.webp,NULL,sword.webp,anemo.webp
69,Lyney,5,bow,pyro,lyney.webp,NULL,bow.webp,pyro.webp
70,Fréminet,4,claymore,cryo,freminet.webp,NULL,claymore.webp,cryo.webp
71,Neuvillette,5,catalyst,hydro,neuvillette.webp,NULL,catalyst.webp,hydro.webp
72,Wriothesley,5,catalyst,cryo,wriothesley.webp,NULL,catalyst.webp,cryo.webp
73,Charlotte,4,catalyst,cryo,charlotte.webp,NULL,catalyst.webp,cryo.webp
74,Furina,5,sword,hydro,furina.webp,NULL,sword.webp,hydro.webp
75,Navia,5,claymore,geo,navia.webp,NULL,claymore.webp,geo.webp
76,Chevreuse,4,polearm,pyro,chevreuse.webp,NULL,polearm.webp,pyro.webp
77,Gaming,4,claymore,pyro,gaming.webp,NULL,claymore.webp,pyro.webp
78,Xianyun,5,catalyst,anemo,xianyun.webp,NULL,catalyst.webp,anemo.webp
79,Chiori,5,sword,geo,chiori.webp,NULL,sword.webp,geo.webp
80,Arlecchino,5,polearm,pyro,arlecchino.webp,NULL,polearm.webp,pyro.webp
81,Sethos,4,bow,electro,sethos.webp,NULL,bow.webp,electro.webp
82,Clorinde,5,sword,electro,clorinde.webp,NULL,sword.webp,electro.webp
83,Sigewinne,5,bow,hydro,sigewinne.webp,NULL,bow.webp,hydro.webp
84,Emilie,5,polearm,dendro,emilie.webp,NULL,polearm.webp,dendro.webp
85,Kachina,4,polearm,geo,kachina.webp,NULL,polearm.webp,geo.webp
86,Mualani,5,catalyst,hydro,mualani.webp,NULL,catalyst.webp,hydro.webp
87,Kinich,5,claymore,dendro,kinich.webp,NULL,claymore.webp,dendro.webp
88,Xilonen,5,sword,geo,xilonen.webp,NULL,sword.webp,geo.webp
89,Ororon,4,bow,electro,ororon.webp,NULL,bow.webp,electro.webp
90,Chasca,5,bow,anemo,chasca.webp,NULL,bow.webp,anemo.webp
91,Citlali,5,catalyst,cryo,citlali.webp,NULL,catalyst.webp,cryo.webp
92,Mavuika,5,claymore,pyro,mavuika.webp,NULL,claymore.webp,pyro.webp
93,Lan Yan,4,catalyst,anemo,lan_yan.webp,NULL,catalyst.webp,anemo.webp
94,Yumemizuki Mizuki,5,catalyst,anemo,yumemizuki_mizuki.webp,NULL,catalyst.webp,anemo.webp
